gene,class,block
AGER,CLASS_3_REGION,NA
PBX2,CLASS_3_REGION,NA
GPSM3,CLASS_3_REGION,NA
NOTCH4,CLASS_3_REGION,NA
C6ORF10,CLASS_3_REGION,NA
BTNL2,CLASS_3_REGION,NA
HLA-DRA,CLASS2_REGION,NA
HLA-DRB9,CLASS2_REGION,NA
HLA-DRB5,CLASS2_REGION,NA
HLA-DRB1,CLASS2_REGION,NA
HLA-DQA1,CLASS2_REGION,NA
HLA-DQB1,CLASS2_REGION,NA
HLA-DQBA,CLASS2_REGION,NA
HLA-DOB,CLASS2_REGION,NA
TAP2,CLASS2_REGION,NA
PSMB8,CLASS2_REGION,NA
TAP1,CLASS2_REGION,NA
PSMB9,CLASS2_REGION,NA
HLA-DMB,CLASS2_REGION,NA
HLA-DMA,CLASS2_REGION,NA
BRD2,CLASS2_REGION,NA
HLA-DOA,CLASS2_REGION,NA
HLA-DPA1,CLASS2_REGION,NA
HLA-DPB1,CLASS2_REGION,NA
COL11A2,EXT_CLASS2_REGION,NA
RXRB,EXT_CLASS2_REGION,NA
SLC39A7,EXT_CLASS2_REGION,NA
HSF17B8,EXT_CLASS2_REGION,NA
RING1,EXT_CLASS2_REGION,NA
VPS52,EXT_CLASS2_REGION,NA
RPS18,EXT_CLASS2_REGION,NA

