"","In0","In1","In10","In11","In2","In3","In4","In5","In6","In7","In8","In9"
"preCG-inhibitory-0",1.08329871169258e-77,0.0358414308640359,1,5.31205495931386e-06,4.29176444235716e-12,0.831307403378747,3.64005214548849e-08,0.870069836891035,0.0203482505137129,1.00445116289155e-43,0.486053837428089,4.24951822547027e-18
"preCG-inhibitory-1",0.153963916993559,0.21414820549194,3.30649104059554e-11,0.00233826178072097,5.31205495931386e-06,3.66482878028587e-16,2.75756877795676e-07,1.64669145132114e-78,0.0203482505137129,0.841671742306434,2.43540719522533e-48,4.39941128572704e-13
"preCG-inhibitory-2",3.75345987661433e-07,0.831307403378747,0.0344948961908694,5.42565933560336e-25,1.42001890921608e-81,0.21414820549194,2.7273426819573e-33,0.24011758406581,0.180846390256554,2.49221791324841e-15,0.275302505667387,0.38923079596862
"preCG-inhibitory-3",0.0335571565937825,6.75709524361597e-34,0.478948647202183,0.1112123871545,0.0068632013222328,1.9137911170264e-05,1.21244377759992e-05,0.112779000512468,2.93909229886252e-39,0.510253545188514,0.363966525926088,0.000509717808560327
"preCG-inhibitory-4",1,4.10284547447482e-13,5.318956839983e-22,0.000255115557630427,0.000123126467464454,8.48929989382041e-69,2.75756877795676e-07,3.34381332276179e-17,3.30649104059554e-11,0.510253545188514,0.00886864881311523,0.000144002341461312
"preCG-inhibitory-5",1,1.02529247834934e-52,7.57608305148629e-05,0.24011758406581,0.000123126467464454,1.77862180142743e-08,0.0195679929590862,0.0446370779955822,2.25203256121487e-30,0.150029169678288,0.0888173997963408,0.00177804668921971
"preCG-inhibitory-6",7.81664822909153e-76,0.21414820549194,0.65412420397649,2.70554173841862e-07,4.3768743455006e-13,0.65412420397649,4.62299883313985e-10,0.178763776848837,0.181833257642126,6.84203747845363e-47,0.744261289686117,4.39941128572704e-13
"preCG-inhibitory-7",3.15222934884912e-05,0.0344948961908694,0.831307403378747,0.000714332870477215,0.831307403378747,0.831307403378747,0.604906409738565,0.870069836891035,0.45945412974175,0.654895832782322,0.482675862009586,0.52049689763298
"preCG-inhibitory-9",3.56740756938585e-18,0.0358414308640359,7.57608305148629e-05,0.594977483162323,0.000504486328891914,0.0369701908758278,0.000305685356859522,3.15923346423122e-07,0.0540674224684011,4.70708333825679e-05,8.06954570998395e-08,1.38107111798214e-104
"insula-inhibitory-0",0.00132764631010723,3.47071465951392e-06,0.00413459059899107,0.000255115557630427,0.000123126467464454,3.81001278270437e-06,0.0195679929590862,0.0223527018568728,0.000472408468882196,0.000192946122060877,0.0184861120285444,1.81049336993915e-06
"insula-inhibitory-1",0.45681954469696,0.478948647202183,3.84282937459267e-12,0.0426191373919344,0.000123126467464454,4.42024931854327e-12,0.000305685356859522,3.15911521479972e-84,2.46521549591778e-05,0.510253545188514,3.75645234780362e-64,1.03261477037096e-08
"insula-inhibitory-10",3.03776476614051e-37,0.21414820549194,0.831307403378747,0.0426191373919344,0.0068632013222328,0.65412420397649,0.00551457221717517,0.112779000512468,0.0540674224684011,2.61988032595105e-17,0.0516287590680506,2.479817108924e-31
"insula-inhibitory-11",0.001212756781441,0.339454923197965,0.831307403378747,0.0207126518267388,0.63857942022496,0.65412420397649,0.604906409738565,0.0681516542187784,0.113353779724908,0.146917803722908,1,0.52049689763298
"insula-inhibitory-2",3.02003495341893e-50,0.65412420397649,0.478948647202183,0.000255115557630427,1.48701626646351e-07,0.65412420397649,0.000305685356859522,0.112779000512468,0.308629648334157,9.72393400209284e-31,0.189638280570635,4.56365126165091e-17
"insula-inhibitory-3",1,3.84998274046322e-60,0.000286283728377182,0.1760628224204,2.46521549591778e-05,2.0879705371315e-09,5.97978721920584e-05,1,5.50688148618646e-51,1,0.187113939961813,0.056890716034501
"insula-inhibitory-4",1,1.89035055042734e-17,6.11368890857043e-30,0.000230708059672273,8.0668850481437e-07,2.28823169847723e-65,1.11074387116222e-05,2.15604362928691e-16,4.606412920229e-25,0.146917803722908,7.43569481938162e-05,0.0051939428910123
"insula-inhibitory-5",0.00132764631010723,0.126287069370528,7.57608305148629e-05,3.65766382561078e-37,8.56671124708505e-90,0.0369701908758278,7.32512953067184e-43,0.0223527018568728,0.00182168376124559,1.52265446581883e-09,0.0516287590680506,0.259451671117413
"insula-inhibitory-6",3.55774744762204e-05,1.7406176297727e-05,0.0358414308640359,0.00233826178072097,0.000504486328891914,3.81001278270437e-06,0.14508781745348,0.241791982629268,0.00182168376124559,4.70708333825679e-05,0.363966525926088,3.36989427054336e-07
"insula-inhibitory-7",0.45681954469696,2.54435433875735e-41,0.00413459059899107,0.1112123871545,0.000504486328891914,2.47056222993021e-09,1.21244377759992e-05,0.00714892120520999,8.54795128165909e-41,1,0.00081184570704632,0.0575363819205617
"insula-inhibitory-9",0.00991901633105433,0.00109769695907732,1.55660327803511e-05,5.92262449660314e-31,3.00539864475256e-69,0.00117556593333664,7.13508796163975e-26,0.346885136820914,2.2434100705505e-05,1.27505085403897e-09,0.187113939961813,0.258690643156159
"calcarine-inhibitory-0",1.44317570611252e-61,0.126287069370528,0.478948647202183,0.00663123553742775,3.64644919610128e-10,0.831307403378747,4.62299883313985e-10,0.0223527018568728,0.0203482505137129,4.62645445293306e-23,0.363966525926088,5.35316254583725e-25
"calcarine-inhibitory-1",0.151031369274823,1,0.000286283728377182,0.00610004328298053,0.0203482505137129,3.44483989824662e-06,0.000287140110441905,1.0963311476453e-54,0.831307403378747,0.146917803722908,3.30645214873624e-40,2.4039960572681e-11
"calcarine-inhibitory-2",0.45681954469696,4.34695109610549e-31,0.65412420397649,0.870069836891035,0.00194126536708433,0.0369701908758278,0.14508781745348,0.462231383694482,2.07483215209486e-16,1,0.275814876774368,0.0575363819205617
"calcarine-inhibitory-3",1,1.72330021187045e-24,1.01313387685197e-07,0.346885136820914,0.00194126536708433,1.77862180142743e-08,6.52811629524699e-05,0.0446370779955822,1.84838912251156e-08,0.355118744234777,0.363966525926088,6.2070696724685e-08
"calcarine-inhibitory-4",3.55774744762204e-05,0.21414820549194,0.65412420397649,1.37467014052416e-13,1.381785699695e-40,0.65412420397649,4.19839159570675e-12,0.728931491719876,0.63857942022496,4.70708333825679e-05,0.0184861120285444,0.259451671117413
"calcarine-inhibitory-6",1,1.89035055042734e-17,1,0.109498314112855,0.181833257642126,0.21414820549194,1,1,0.000434662548025752,0.654895832782322,0.187113939961813,0.676212731932216
