"","Oli0","Oli1","Oli3","Oli4","Oli5"
"preCG-oligodendrocyte-0",56.5227412307466,0,19.1258409553455,0,33.8805693962951
"preCG-oligodendrocyte-1",60.6721152617189,0,0,0,50.9071912617339
"preCG-oligodendrocyte-11",82.7669474784948,0,472.071334852241,0,0
"preCG-oligodendrocyte-13",72.3915571885016,0,0,10.7274684433061,70.7439363417011
"preCG-oligodendrocyte-14",0,0,0,66.3879969016652,33.6945756170729
"preCG-oligodendrocyte-15",36.4725299887538,0,0,5.63591717676071,351.504982321011
"preCG-oligodendrocyte-2",12.5033593804261,0,0,60.0975096992904,7.81235897322998
"preCG-oligodendrocyte-3",0,0,45.4942013440196,0,32.648051165896
"preCG-oligodendrocyte-4",0,0,0,66.9184384687272,0
"preCG-oligodendrocyte-5",171.632037872622,0,0,0,29.8116038317751
"preCG-oligodendrocyte-6",23.8435286746749,0,101.771826953744,3.68282923242788,0
"preCG-oligodendrocyte-7",171.632037872622,0,0,0,63.9557485532495
"preCG-oligodendrocyte-8",95.782759760187,0,0,4.25666696738531,36.333588673497
"preCG-oligodendrocyte-9",0,0,466.953781123118,0,0
"insula-oligodendrocyte-0",380.861370752889,0,75.5560978824642,0,73.1220609229388
"insula-oligodendrocyte-1",42.9572003134592,0,0,0,35.9036442759653
"insula-oligodendrocyte-10",26.868344933464,0,7.01577084833223,1.95056805078278,7.89235403023562
"insula-oligodendrocyte-11",0,0,0,55.9804088864324,0
"insula-oligodendrocyte-12",202.880575264205,0,6.94195406450894,3.93131200933311,119.42611023808
"insula-oligodendrocyte-13",0,0,0,14.3078696625905,0
"insula-oligodendrocyte-14",0,0,14.428129978605,25.582184793699,16.2889638449626
"insula-oligodendrocyte-15",108.318017881557,0,23.2342575050714,1.99143707157212,285.128308837387
"insula-oligodendrocyte-16",0,0,26.5082542517806,7.37255789866095,0
"insula-oligodendrocyte-17",0,0,0,16.7999683480527,32.2703641577125
"insula-oligodendrocyte-18",12.5033593804261,0,0,213.263601816349,0
"insula-oligodendrocyte-2",12.5033593804261,124.928010513631,0,339.127762029406,7.81235897322998
"insula-oligodendrocyte-3",61.9035148279399,0,0,4.01398754386085,59.7187756008973
"insula-oligodendrocyte-4",0,0,36.2574349539357,0,0
"insula-oligodendrocyte-5",26.5943020511241,124.928010513631,0,290.544796189751,7.81235897322998
"insula-oligodendrocyte-6",95.4716564215051,0,10.7556501566904,0,93.1748711338135
"insula-oligodendrocyte-7",171.207352706576,0,204.923117012685,0,0
"insula-oligodendrocyte-8",42.9572003134592,0,0,0,59.07660001407
"insula-oligodendrocyte-9",0,0,0,15.6796100943949,14.6172692291582
"calcarine-oligodendrocyte-0",26.5943020511241,501.552750408145,0,339.127762029406,25.5144234626476
"calcarine-oligodendrocyte-1",45.8750776426709,448.663559182963,0,14.856988055421,0
"calcarine-oligodendrocyte-10",85.6679062338166,0,0,14.73520704961,65.930729333526
"calcarine-oligodendrocyte-2",0,330.969672980303,0,10.7274684433061,20.948066225196
"calcarine-oligodendrocyte-3",98.1543192438204,0,15.6522218220811,0,58.9690751249788
"calcarine-oligodendrocyte-4",82.1450760703361,0,155.414211492496,3.9719935781526,0
"calcarine-oligodendrocyte-6",307.151526317633,0,0,0,26.7361699435525
