"","Opc0","Opc1","Opc2"
"preCG-opc-0",0,0,4.38966553478372
"preCG-opc-1",0,0,132.38639307865
"preCG-opc-2",46.9597026667212,0,2.17801276957781
"preCG-opc-3",0,78.6597287523749,0
"preCG-opc-4",0,415.206191868369,3.95853057035929
"preCG-opc-6",0,7.21625171857545,11.5903223576424
"preCG-opc-8",0,7.21625171857545,11.5903223576424
"insula-opc-0",212.796187741172,0,0
"insula-opc-1",0,15.1174329994059,6.70377045095555
"insula-opc-2",0,178.675345993821,0
"insula-opc-3",46.487120762897,3.52615974976916,224.969924971318
"insula-opc-4",0,7.29073494192606,14.3244142800968
"calcarine-opc-0",46.487120762897,0,0
"calcarine-opc-2",0,264.780215996881,46.5747098762648
"calcarine-opc-3",0,356.069176456513,0
